session_examen;academie;code_region;libelle_region;tranche_age;serie;inscrits;presents;admis;admis_sans_mention;admis_ab;admis_b;admis_tb;inscrits_filles;presents_filles;admis_filles;admis_sans_mention_filles;admis_ab_filles;admis_b_filles;admis_tb_filles
2012;VERSAILLES;11;Île-de-France;16 ans;SERIE COLLEGE;13062;12359;8154;6223;1653;247;31;5658;5416;3886;2876;842;145;23
2012;VERSAILLES;11;Île-de-France;15 ans ou moins;SERIE COLLEGE;52204;51854;48597;14035;15609;12921;6032;26846;26690;25463;6435;7762;7365;3901
2012;VERSAILLES;11;Île-de-France;17 ans ou plus;SERIE COLLEGE;1191;1025;519;431;69;18;1;517;444;252;206;35;10;1
2012;CORSE;94;Corse;17 ans ou plus;SERIE COLLEGE;59;54;26;19;5;2;0;29;27;12;10;1;1;0
2012;GUADELOUPE;01;Guadeloupe;15 ans ou moins;SERIE COLLEGE;5083;5065;4353;1628;1377;980;368;2786;2778;2485;863;779;592;251
2012;MAYOTTE;06;Mayotte;16 ans;SERIE COLLEGE;1489;1458;976;687;228;57;4;771;762;568;386;151;31;0
2012;PARIS;11;Île-de-France;17 ans ou plus;SERIE PROFESSIONNELLE;536;527;202;140;46;13;3;221;218;89;67;16;6;0
2012;CAEN;28;Normandie;16 ans;SERIE PROFESSIONNELLE;503;473;329;223;94;12;0;166;149;103;69;28;6;0
2012;CLERMONT-FERRAND;84;Auvergne-et-Rhône-Alpes;15 ans ou moins;SERIE PROFESSIONNELLE;174;169;137;77;54;6;0;58;57;46;21;21;4;0
2012;GRENOBLE;84;Auvergne-et-Rhône-Alpes;16 ans;SERIE PROFESSIONNELLE;1873;1722;1140;667;404;68;1;662;606;436;243;161;32;0
2012;GRENOBLE;84;Auvergne-et-Rhône-Alpes;15 ans ou moins;SERIE PROFESSIONNELLE;626;612;468;223;207;36;2;181;175;138;73;53;11;1
2012;GRENOBLE;84;Auvergne-et-Rhône-Alpes;17 ans ou plus;SERIE PROFESSIONNELLE;802;559;285;204;70;11;0;396;288;147;112;32;3;0
2012;LILLE;32;Hauts-de-France;16 ans;SERIE PROFESSIONNELLE;2505;2056;1385;878;420;83;4;954;762;528;336;162;28;2
2012;LILLE;32;Hauts-de-France;15 ans ou moins;SERIE PROFESSIONNELLE;401;384;295;155;117;21;2;151;144;119;64;42;11;2
2012;MONTPELLIER;76;Occitanie;16 ans;SERIE PROFESSIONNELLE;1428;1271;907;590;260;56;1;566;499;382;246;106;30;0
2012;NANCY-METZ;44;Grand-Est;17 ans ou plus;SERIE PROFESSIONNELLE;269;196;118;90;25;3;0;158;120;69;59;8;2;0
2012;POITIERS;75;Nouvelle-Aquitaine;16 ans;SERIE PROFESSIONNELLE;1027;922;662;462;166;33;1;394;361;276;186;76;14;0
2012;RENNES;53;Bretagne;17 ans ou plus;SERIE PROFESSIONNELLE;1431;1150;646;386;222;37;1;661;533;296;192;91;13;0
2012;STRASBOURG;44;Grand-Est;15 ans ou moins;SERIE PROFESSIONNELLE;218;213;183;90;73;19;1;78;76;66;29;31;6;0
2012;TOULOUSE;76;Occitanie;15 ans ou moins;SERIE PROFESSIONNELLE;519;509;433;219;177;37;0;209;205;183;84;80;19;0
2012;NANTES;52;Pays-de-la-Loire;15 ans ou moins;SERIE PROFESSIONNELLE;528;517;440;192;201;47;0;174;172;151;53;76;22;0
2012;ORLEANS-TOURS;24;Centre-Val-de-Loire;16 ans;SERIE PROFESSIONNELLE;899;806;550;338;182;29;1;352;313;218;140;66;12;0
2012;AMIENS;32;Hauts-de-France;17 ans ou plus;SERIE PROFESSIONNELLE;436;315;159;117;33;9;0;200;145;75;57;14;4;0
2012;LIMOGES;75;Nouvelle-Aquitaine;16 ans;SERIE PROFESSIONNELLE;244;223;115;86;25;4;0;111;106;56;42;12;2;0
2012;NICE;93;Provence-Alpes-Côte-d'Azur;16 ans;SERIE PROFESSIONNELLE;1160;1095;601;411;171;19;0;432;408;234;166;60;8;0
2012;NICE;93;Provence-Alpes-Côte-d'Azur;17 ans ou plus;SERIE PROFESSIONNELLE;514;492;185;130;49;6;0;237;223;82;61;17;4;0
2012;VERSAILLES;11;Île-de-France;16 ans;SERIE PROFESSIONNELLE;1677;1285;853;648;178;26;1;663;502;336;255;68;13;0
2012;MARTINIQUE;02;Martinique;15 ans ou moins;SERIE PROFESSIONNELLE;7;7;5;5;0;0;0;1;1;1;1;0;0;0
2012;GUADELOUPE;01;Guadeloupe;15 ans ou moins;SERIE PROFESSIONNELLE;176;173;130;84;40;6;0;70;69;58;33;21;4;0
2012;GUYANE;03;Guyane;17 ans ou plus;SERIE PROFESSIONNELLE;89;83;47;39;8;0;0;43;38;22;20;2;0;0
2012;PARIS;11;Île-de-France;16 ans;SERIE TECHNOLOGIQUE;7;7;6;1;3;2;0;2;2;2;1;1;0;0
2012;BORDEAUX;75;Nouvelle-Aquitaine;16 ans;SERIE TECHNOLOGIQUE;848;825;725;463;216;43;3;341;331;300;187;91;19;3
2012;CLERMONT-FERRAND;84;Auvergne-et-Rhône-Alpes;17 ans ou plus;SERIE TECHNOLOGIQUE;46;40;18;14;3;0;1;25;22;10;8;2;0;0
2012;DIJON;27;Bourgogne-et-Franche-Comté;16 ans;SERIE TECHNOLOGIQUE;883;861;620;361;228;30;1;311;303;235;125;92;18;0
2012;GRENOBLE;84;Auvergne-et-Rhône-Alpes;17 ans ou plus;SERIE TECHNOLOGIQUE;169;145;99;63;33;1;2;68;59;40;29;11;0;0
2012;LILLE;32;Hauts-de-France;16 ans;SERIE TECHNOLOGIQUE;776;752;618;354;214;49;1;292;278;225;129;76;20;0
2012;MONTPELLIER;76;Occitanie;17 ans ou plus;SERIE TECHNOLOGIQUE;107;94;71;44;19;7;1;43;38;29;15;9;4;1
2012;TOULOUSE;76;Occitanie;16 ans;SERIE TECHNOLOGIQUE;853;835;686;405;247;33;1;311;302;254;145;92;16;1
2012;NANTES;52;Pays-de-la-Loire;16 ans;SERIE TECHNOLOGIQUE;1591;1533;1150;702;389;57;2;638;618;484;284;172;27;1
2012;ORLEANS-TOURS;24;Centre-Val-de-Loire;16 ans;SERIE TECHNOLOGIQUE;897;869;662;413;213;35;1;344;335;269;161;88;19;1
2012;ROUEN;28;Normandie;15 ans ou moins;SERIE TECHNOLOGIQUE;107;105;99;51;33;14;1;23;22;21;13;4;4;0
2012;LIMOGES;75;Nouvelle-Aquitaine;16 ans;SERIE TECHNOLOGIQUE;298;287;209;124;69;16;0;100;97;80;51;22;7;0
2012;NICE;93;Provence-Alpes-Côte-d'Azur;16 ans;SERIE TECHNOLOGIQUE;52;52;37;24;13;0;0;21;21;16;9;7;0;0
2012;NICE;93;Provence-Alpes-Côte-d'Azur;17 ans ou plus;SERIE TECHNOLOGIQUE;69;69;26;16;7;2;1;8;8;5;4;1;0;0
2012;CORSE;94;Corse;15 ans ou moins;SERIE TECHNOLOGIQUE;16;16;13;6;5;2;0;6;6;6;3;2;1;0
2012;CORSE;94;Corse;17 ans ou plus;SERIE TECHNOLOGIQUE;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2012;MARTINIQUE;02;Martinique;16 ans;SERIE TECHNOLOGIQUE;12;10;7;5;2;0;0;3;3;2;2;0;0;0
2012;GUYANE;03;Guyane;16 ans;SERIE TECHNOLOGIQUE;95;93;64;52;10;2;0;41;40;27;20;6;1;0
2013;BESANCON;27;Bourgogne-et-Franche-Comté;15 ans ou moins;SERIE GENERALE;10062;10032;9220;2696;2900;2297;1327;5265;5254;4932;1274;1513;1283;862
2013;BORDEAUX;75;Nouvelle-Aquitaine;16 ans;SERIE GENERALE;5501;5279;3275;2445;704;116;10;2503;2406;1586;1177;339;64;6
